CIK,Company_Name,Filing_Year_End,Alignment_Similarity,Score_1_Fin,Score_1_Fin_Unbounded,Score_1_Text,Score_1_Text_Unbounded,Score_2_Fin_Velocity,Score_2_Fin_Directional,Score_2_Text_Velocity,Score_2_Text_Directional,Score_3_Decoupling_Distance,Score_3_Cosine_Dissimilarity,Score_3_Signed_Divergence
14930,BRUNSWICK CORP,2021,0.9911,0.9619,3.4562,0.9537,3.3061,0.056,0.1327,0.0201,0.0231,0.1335,0.0089,0.1502
14930,BRUNSWICK CORP,2022,0.9954,0.9575,3.3729,0.9503,3.2524,0.0785,-0.0833,0.0207,-0.0537,0.0957,0.0046,0.1205
15615,MASTEC INC,2019,0.9957,0.6932,1.7812,0.774,2.0455,0.0,0.0,0.0,0.0,0.0927,0.0043,-0.2643
15615,MASTEC INC,2020,0.991,0.7899,2.1068,0.7866,2.0935,0.1127,0.3256,0.0147,0.048,0.1345,0.009,0.0133
15615,MASTEC INC,2021,0.9967,0.7455,1.9443,0.7881,2.0994,0.08,-0.1625,0.0167,0.0059,0.0811,0.0033,-0.1551
15615,MASTEC INC,2022,0.9971,0.7274,1.8848,0.7942,2.124,0.0544,-0.0595,0.0071,0.0246,0.0763,0.0029,-0.2392
16040,CABOT CORP,2020,0.6975,-0.7586,-0.9893,0.9306,2.9942,0.0,0.0,0.0,0.0,0.7778,0.3025,-3.9835
16040,CABOT CORP,2021,0.8177,-0.0372,0.4442,0.9345,3.0389,0.3916,1.4335,0.0118,0.0447,0.6039,0.1823,-2.5947
16040,CABOT CORP,2022,0.9706,0.9724,3.702,0.9397,3.1038,0.6768,3.2578,0.024,0.0649,0.2426,0.0294,0.5982
16040,CABOT CORP,2023,0.932,0.99,4.4668,0.9497,3.2423,0.3342,0.7648,0.0364,0.1385,0.3687,0.068,1.2245
16160,CAL-MAINE FOODS INC,2020,0.9561,0.9558,3.3427,0.8145,2.2104,0.0,0.0,0.0,0.0,0.2963,0.0439,1.1323
16732,CAMPBELL SOUP CO,2020,0.9891,0.9316,3.006,0.9581,3.3834,0.0,0.0,0.0,0.0,0.1475,0.0109,-0.3775
16732,CAMPBELL SOUP CO,2021,0.9922,0.9497,3.2427,0.9592,3.4034,0.1109,0.2368,0.0069,0.0199,0.1247,0.0078,-0.1606
16732,CAMPBELL SOUP CO,2022,0.9879,0.9385,3.0879,0.9621,3.4611,0.0749,-0.1549,0.0197,0.0577,0.1558,0.0121,-0.3733
16732,CAMPBELL SOUP CO,2023,0.9912,0.9678,3.5854,0.9706,3.6539,0.1428,0.4975,0.0481,0.1928,0.1326,0.0088,-0.0685
16875,CANADIAN PACIFIC RAILWAY LTD/CN,2019,0.9325,0.9218,2.9017,0.9876,4.3053,0.0,0.0,0.0,0.0,0.3674,0.0675,-1.4036
16875,CANADIAN PACIFIC RAILWAY LTD/CN,2020,0.9283,0.9348,3.0422,0.9894,4.4292,0.0317,0.1405,0.0402,0.1239,0.3787,0.0717,-1.387
16875,CANADIAN PACIFIC RAILWAY LTD/CN,2021,0.8103,0.8569,2.4224,0.9925,4.6841,0.1459,-0.6198,0.1065,0.2548,0.6159,0.1897,-2.2616
16875,CANADIAN PACIFIC RAILWAY LTD/CN,2022,0.8604,0.8941,2.6632,0.9914,4.5796,0.0536,0.2408,0.0422,-0.1045,0.5284,0.1396,-1.9164
